,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Torbay,90,CA,1549818000,57,47.66,-52.73,19.4,39.15
1,Rikitea,92,PF,1549822099,100,-23.12,-134.97,71.83,13.24
2,Hobart,75,AU,1549819800,72,-42.88,147.33,64.4,6.93
3,Pimampiro,75,EC,1549818000,82,0.39,-77.94,55.4,4.7
4,Busselton,20,AU,1549822101,100,-33.64,115.35,60.94,13.47
5,Qaanaaq,56,GL,1549822101,78,77.48,-69.36,-4.4,7.43
6,Gamba,0,CN,1549822101,17,28.28,88.52,-20.69,2.17
7,Puerto Ayora,20,EC,1549818000,74,-0.74,-90.35,84.2,6.93
8,Sabang,80,PH,1549822102,88,13.72,123.58,77.01,11.68
9,Novobeysugskaya,48,RU,1549822102,96,45.47,39.89,36.64,3.06
10,Kimbe,92,PG,1549822102,100,-5.56,150.15,78.72,12.01
11,Ushuaia,75,AR,1549818000,84,-54.81,-68.31,42.8,19.46
12,Porto Novo,75,BR,1549821600,52,-23.68,-45.44,87.8,5.82
13,Bluff,44,AU,1549822103,80,-23.58,149.07,73.45,3.51
14,Nouakchott,12,MR,1549819800,4,18.08,-15.98,95.0,12.75
15,Haines Junction,24,CA,1549822104,61,60.75,-137.51,-15.43,1.72
16,Atuona,48,PF,1549822104,100,-9.8,-139.03,80.52,15.03
17,Longyearbyen,20,NO,1549821000,65,78.22,15.63,6.8,9.17
18,Jamestown,0,AU,1549822105,86,-33.21,138.6,46.0,0.38
19,Touros,75,BR,1549818000,94,-5.2,-35.46,78.8,13.87
20,Port Lincoln,76,AU,1549822106,96,-34.72,135.86,65.26,14.81
21,Camacha,40,PT,1549819800,67,33.08,-16.33,62.6,12.75
22,Mana,0,RS,1549819800,75,43.52,20.24,42.8,3.36
23,Hermanus,88,ZA,1549822107,90,-34.42,19.24,63.78,5.53
24,Cidreira,80,BR,1549822107,100,-30.17,-50.22,74.53,5.86
25,East London,75,ZA,1549819320,100,-33.02,27.91,73.4,9.17
26,Te Anau,68,NZ,1549821946,81,-45.41,167.72,50.95,2.62
27,Norman Wells,75,CA,1549818000,83,65.28,-126.83,-4.01,2.39
28,Cape Town,20,ZA,1549818000,68,-33.93,18.42,68.0,25.28
29,Vaini,0,IN,1549822108,83,15.34,74.49,61.75,2.17
30,Ribeira Grande,40,PT,1549819800,88,38.52,-28.7,64.4,14.99
31,Kapaa,90,US,1549817760,86,22.08,-159.32,64.04,3.36
32,Butaritari,88,KI,1549822109,100,3.07,172.79,83.53,19.51
33,Kiama,0,AU,1549818000,82,-34.67,150.86,57.2,4.7
34,New Norfolk,75,AU,1549819800,72,-42.78,147.06,64.4,6.93
35,Hamilton,75,CA,1549818000,67,43.26,-79.87,24.8,4.7
36,Alofi,92,NU,1549818000,88,-19.06,-169.92,80.6,13.87
37,Northam,20,GB,1549819200,75,51.04,-4.21,44.6,18.34
38,San Ramon de la Nueva Oran,24,AR,1549822111,89,-23.13,-64.33,85.02,4.52
39,Kathmandu,75,NP,1549821000,87,27.71,85.32,48.2,3.36
40,Albany,90,US,1549820280,67,42.65,-73.75,30.02,12.75
41,Moron,8,VE,1549822112,44,10.49,-68.2,83.53,6.31
42,Bredasdorp,92,ZA,1549818000,73,-34.53,20.04,69.8,8.05
43,Lyuban,8,BY,1549822112,87,52.8,28.0,32.86,10.45
44,Tilichiki,24,RU,1549822112,83,60.47,166.1,-13.72,4.29
45,Xuddur,0,SO,1549822113,44,4.12,43.89,79.93,8.43
